age,gender,province,education,language,religion,vote
30-44,Female,Quebec,Degree above the bachelor's level,Neither English nor French,No,5
18-29,Female,Quebec,Degree above the bachelor's level,Both English and French,Yes,9
18-29,Female,Ontario,University below the bachelor's level,English only,Yes,1
18-29,Male,Ontario,University below the bachelor's level,English only,Yes,2
18-29,Female,Ontario,High school diploma or its equivalent,Both English and French,Yes,9
18-29,Female,Ontario,University below the bachelor's level,Both English and French,Yes,1
18-29,Female,Ontario,University below the bachelor's level,English only,Yes,1
18-29,Female,Ontario,University below the bachelor's level,Both English and French,Yes,9
18-29,Male,Ontario,High school diploma or its equivalent,English only,Yes,1
18-29,Female,Ontario,High school diploma or its equivalent,Neither English nor French,Yes,3
18-29,Female,Ontario,University below the bachelor's level,Both English and French,No,2
18-29,Male,Ontario,High school diploma or its equivalent,English only,No,1
18-29,Female,Ontario,University below the bachelor's level,English only,Yes,1
18-29,Male,Ontario,University below the bachelor's level,English only,Yes,1
18-29,Female,Ontario,High school diploma or its equivalent,English only,No,1
18-29,Female,Ontario,High school diploma or its equivalent,English only,Yes,1
18-29,Female,Ontario,High school diploma or its equivalent,English only,No,5
18-29,Female,Ontario,University below the bachelor's level,English only,Yes,5
18-29,Female,Ontario,University below the bachelor's level,English only,Yes,NA
18-29,Female,Ontario,High school diploma or its equivalent,English only,Yes,3
18-29,Male,Ontario,High school diploma or its equivalent,English only,No,2
18-29,Male,Ontario,University below the bachelor's level,English only,Yes,1
18-29,Female,Ontario,University below the bachelor's level,Neither English nor French,Yes,1
18-29,Female,Ontario,High school diploma or its equivalent,English only,No,9
18-29,Female,Ontario,High school diploma or its equivalent,English only,Yes,1
18-29,Male,Ontario,High school diploma or its equivalent,English only,Yes,1
18-29,Female,Ontario,High school diploma or its equivalent,Both English and French,No,9
18-29,Male,Ontario,University below the bachelor's level,English only,Yes,1
18-29,Female,Ontario,Less than high school,Neither English nor French,Yes,1
18-29,Male,Ontario,High school diploma or its equivalent,Both English and French,Yes,2
18-29,Female,Ontario,University below the bachelor's level,Both English and French,No,1
18-29,Female,Ontario,University below the bachelor's level,English only,Yes,5
18-29,Male,Ontario,Less than high school,English only,No,1
18-29,Female,Ontario,University below the bachelor's level,Both English and French,Yes,1
18-29,Male,Ontario,University below the bachelor's level,Both English and French,Yes,1
18-29,Male,Ontario,High school diploma or its equivalent,English only,Yes,2
18-29,Female,Ontario,University below the bachelor's level,English only,Yes,3
18-29,Female,Ontario,University below the bachelor's level,Both English and French,Yes,3
18-29,Female,Ontario,University below the bachelor's level,English only,Yes,1
18-29,Female,Ontario,High school diploma or its equivalent,English only,Yes,2
18-29,Male,Ontario,University below the bachelor's level,English only,Yes,1
18-29,Female,Ontario,High school diploma or its equivalent,English only,No,1
18-29,Female,Ontario,University below the bachelor's level,Both English and French,Yes,1
18-29,Female,Ontario,Less than high school,English only,No,3
18-29,Male,Ontario,University below the bachelor's level,English only,No,9
18-29,Female,Ontario,University below the bachelor's level,Neither English nor French,Yes,9
18-29,Male,Ontario,University below the bachelor's level,Both English and French,No,1
18-29,Female,Ontario,University below the bachelor's level,English only,Yes,3
18-29,Male,Ontario,University below the bachelor's level,Both English and French,Yes,5
18-29,Female,Ontario,University below the bachelor's level,English only,Yes,3
18-29,Male,Ontario,High school diploma or its equivalent,English only,No,1
18-29,Female,Ontario,High school diploma or its equivalent,Both English and French,Yes,3
18-29,Female,Ontario,University below the bachelor's level,Both English and French,No,1
18-29,Female,Ontario,University below the bachelor's level,English only,Yes,1
18-29,Male,Ontario,University below the bachelor's level,English only,No,1
18-29,Female,Ontario,University below the bachelor's level,English only,No,3
18-29,Female,Ontario,University below the bachelor's level,Both English and French,Yes,1
18-29,Male,Ontario,University below the bachelor's level,English only,Yes,3
18-29,Female,Ontario,Bachelor's degree,English only,No,3
18-29,Male,Ontario,High school diploma or its equivalent,English only,No,1
18-29,Female,Ontario,University below the bachelor's level,Neither English nor French,Yes,1
18-29,Female,Ontario,University below the bachelor's level,Both English and French,Yes,3
18-29,Female,Ontario,Less than high school,Neither English nor French,No,3
18-29,Female,Ontario,High school diploma or its equivalent,English only,Yes,3
18-29,Female,Ontario,High school diploma or its equivalent,Both English and French,No,1
18-29,Female,Ontario,High school diploma or its equivalent,English only,No,1
18-29,Female,Ontario,University below the bachelor's level,English only,Yes,2
18-29,Male,Ontario,University below the bachelor's level,English only,No,9
18-29,Female,Ontario,Bachelor's degree,English only,Yes,1
18-29,Female,Ontario,University below the bachelor's level,English only,Yes,2
18-29,Male,Ontario,High school diploma or its equivalent,English only,Yes,3
18-29,Male,Ontario,University below the bachelor's level,English only,Yes,7
45-59,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,9
60-74,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,1
60-74,Female,Ontario,Bachelor's degree,English only,No,9
18-29,Female,Ontario,Degree above the bachelor's level,English only,Yes,3
45-59,Male,British Columbia,Bachelor's degree,English only,No,2
