age,gender,province,education,language,religion,n
18-29,Female,Alberta,Bachelor's degree,Both English and French,No,1
18-29,Female,Alberta,Bachelor's degree,English only,No,5
18-29,Female,Alberta,Bachelor's degree,English only,Yes,11
18-29,Female,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,No,9
18-29,Female,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,Yes,17
18-29,Female,Alberta,Degree above the bachelor's level,Both English and French,Yes,1
18-29,Female,Alberta,Don't know/ Prefer not to answer,English only,No,1
18-29,Female,Alberta,High school diploma or its equivalent,Both English and French,No,2
18-29,Female,Alberta,High school diploma or its equivalent,Both English and French,Yes,3
18-29,Female,Alberta,High school diploma or its equivalent,English only,No,15
18-29,Female,Alberta,High school diploma or its equivalent,English only,Yes,18
18-29,Female,Alberta,High school diploma or its equivalent,Neither English nor French,Yes,1
18-29,Female,Alberta,Less than high school,English only,No,7
18-29,Female,Alberta,Less than high school,English only,Yes,10
18-29,Female,Alberta,University below the bachelor's level,English only,No,1
18-29,Female,Alberta,University below the bachelor's level,English only,Yes,4
18-29,Female,British Columbia,Bachelor's degree,Both English and French,No,4
18-29,Female,British Columbia,Bachelor's degree,Both English and French,Yes,1
18-29,Female,British Columbia,Bachelor's degree,English only,No,7
18-29,Female,British Columbia,Bachelor's degree,English only,Yes,17
18-29,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,1
18-29,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,No,9
18-29,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,8
18-29,Female,British Columbia,Degree above the bachelor's level,English only,Yes,1
18-29,Female,British Columbia,Don't know/ Prefer not to answer,English only,No,1
18-29,Female,British Columbia,Don't know/ Prefer not to answer,English only,Yes,1
18-29,Female,British Columbia,Don't know/ Prefer not to answer,Neither English nor French,No,1
18-29,Female,British Columbia,High school diploma or its equivalent,Both English and French,No,1
18-29,Female,British Columbia,High school diploma or its equivalent,Both English and French,Yes,4
18-29,Female,British Columbia,High school diploma or its equivalent,English only,No,28
18-29,Female,British Columbia,High school diploma or its equivalent,English only,Yes,17
18-29,Female,British Columbia,Less than high school,Both English and French,No,4
18-29,Female,British Columbia,Less than high school,Both English and French,Yes,2
18-29,Female,British Columbia,Less than high school,English only,No,5
18-29,Female,British Columbia,Less than high school,English only,Yes,5
18-29,Female,British Columbia,University below the bachelor's level,English only,No,2
18-29,Female,British Columbia,University below the bachelor's level,English only,Yes,2
18-29,Female,Manitoba,Bachelor's degree,English only,No,5
18-29,Female,Manitoba,Bachelor's degree,English only,Yes,4
18-29,Female,Manitoba,"College, CEGEP, or other technical or non-university certificate",English only,No,6
18-29,Female,Manitoba,"College, CEGEP, or other technical or non-university certificate",English only,Yes,11
18-29,Female,Manitoba,"College, CEGEP, or other technical or non-university certificate",Neither English nor French,No,1
18-29,Female,Manitoba,Don't know/ Prefer not to answer,English only,Yes,2
18-29,Female,Manitoba,Don't know/ Prefer not to answer,Neither English nor French,No,1
18-29,Female,Manitoba,High school diploma or its equivalent,English only,No,11
18-29,Female,Manitoba,High school diploma or its equivalent,English only,Yes,7
18-29,Female,Manitoba,Less than high school,Both English and French,Yes,3
18-29,Female,Manitoba,Less than high school,English only,No,2
18-29,Female,Manitoba,Less than high school,English only,Yes,11
18-29,Female,Manitoba,Less than high school,Neither English nor French,No,1
18-29,Female,New Brunswick,Bachelor's degree,Both English and French,No,2
18-29,Female,New Brunswick,Bachelor's degree,Both English and French,Yes,4
18-29,Female,New Brunswick,Bachelor's degree,English only,Yes,3
18-29,Female,New Brunswick,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,1
18-29,Female,New Brunswick,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,5
18-29,Female,New Brunswick,"College, CEGEP, or other technical or non-university certificate",English only,No,3
18-29,Female,New Brunswick,"College, CEGEP, or other technical or non-university certificate",English only,Yes,9
18-29,Female,New Brunswick,Degree above the bachelor's level,Both English and French,Yes,1
18-29,Female,New Brunswick,Degree above the bachelor's level,English only,No,2
18-29,Female,New Brunswick,Degree above the bachelor's level,English only,Yes,2
18-29,Female,New Brunswick,Don't know/ Prefer not to answer,Both English and French,Yes,1
18-29,Female,New Brunswick,High school diploma or its equivalent,Both English and French,No,2
18-29,Female,New Brunswick,High school diploma or its equivalent,Both English and French,Yes,5
18-29,Female,New Brunswick,High school diploma or its equivalent,English only,No,2
18-29,Female,New Brunswick,High school diploma or its equivalent,English only,Yes,9
18-29,Female,New Brunswick,High school diploma or its equivalent,French only,Yes,1
18-29,Female,New Brunswick,Less than high school,Both English and French,No,3
18-29,Female,New Brunswick,Less than high school,Both English and French,Yes,5
18-29,Female,New Brunswick,Less than high school,English only,No,2
18-29,Female,New Brunswick,Less than high school,English only,Yes,4
18-29,Female,New Brunswick,Less than high school,French only,Yes,1
18-29,Female,New Brunswick,University below the bachelor's level,Both English and French,Yes,1
18-29,Female,Newfoundland and Labrador,Bachelor's degree,Both English and French,No,1
18-29,Female,Newfoundland and Labrador,Bachelor's degree,Both English and French,Yes,1
18-29,Female,Newfoundland and Labrador,Bachelor's degree,English only,Yes,9
18-29,Female,Newfoundland and Labrador,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,1
18-29,Female,Newfoundland and Labrador,"College, CEGEP, or other technical or non-university certificate",English only,Yes,10
18-29,Female,Newfoundland and Labrador,Degree above the bachelor's level,English only,No,1
18-29,Female,Newfoundland and Labrador,Don't know/ Prefer not to answer,Both English and French,No,1
18-29,Female,Newfoundland and Labrador,Don't know/ Prefer not to answer,English only,Yes,1
18-29,Female,Newfoundland and Labrador,High school diploma or its equivalent,Both English and French,No,1
18-29,Female,Newfoundland and Labrador,High school diploma or its equivalent,Both English and French,Yes,2
18-29,Female,Newfoundland and Labrador,High school diploma or its equivalent,English only,No,2
18-29,Female,Newfoundland and Labrador,High school diploma or its equivalent,English only,Yes,13
18-29,Female,Newfoundland and Labrador,Less than high school,Both English and French,Yes,2
